FitMethod,sigmaC,TemporalRes,TrueRelKt,TrueRelVe,TrueKep,TrueVp,errKt,errVe,errKep,errVp,stdErrKt,stdErrVe,stdErrKep,stdErrVp,meanResid,stdResid,fracImag
ERRM-NN,0.020000,15.000000,3.571429,2.857143,0.625000,0.200000,33.178772,12.423196,4.189977,-6.726071,30.637325,17.312586,91.696999,46.846850,NaN,NaN,0.002900
ETM,0.030000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.020558,-0.004933,-0.014628,2.424094,1.211784,0.468224,1.203680,130.905538,NaN,NaN,0.000000
ERTM,0.030000,1.000000,3.571429,2.857143,0.625000,0.001000,0.333636,0.177761,0.154213,-72.341760,2.056795,0.456623,1.931222,66.185731,NaN,NaN,0.000000
CERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.001000,-1.272115,-0.451173,-6.748248,117.397827,2.166873,0.904128,1.538462,420.924473,NaN,NaN,0.000000
ERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.001000,-42.145920,-52.623941,-0.213889,0.529619,48.220549,62.106666,18.032297,477.563557,NaN,NaN,0.000000
CERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.001000,-1.796195,-0.594916,-7.104570,198.931311,1.672100,0.737004,1.337702,314.743086,NaN,NaN,0.000000
ERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.001000,-1.864077,-0.874813,-5.795125,144.796977,2.417017,0.877200,15.951997,308.989534,NaN,NaN,0.000000
ETM,0.030000,5.000000,3.571429,2.857143,0.625000,0.001000,0.037530,0.006384,0.035968,4.207942,2.716115,1.047373,2.691539,292.874944,NaN,NaN,0.000000
ERTM,0.030000,5.000000,3.571429,2.857143,0.625000,0.001000,0.056702,-0.005963,0.066562,9.474016,3.081224,1.074014,3.020012,343.714785,NaN,NaN,0.000000
CERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.001000,-3.275273,-1.191298,-18.249204,323.916039,4.178801,1.693797,2.831281,884.181113,NaN,NaN,0.000000
ERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.001000,-45.428356,-57.380999,-3.500589,52.278579,47.279149,62.842127,38.119037,1013.149226,NaN,NaN,0.000000
CERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.001000,-4.333483,-1.446443,-18.919329,503.989049,3.199739,1.425811,2.451626,652.827691,NaN,NaN,0.000000
ERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.001000,-4.222831,-2.544732,-15.729298,386.139521,4.345261,2.525881,33.274532,628.524139,NaN,NaN,0.000000
ETM,0.030000,10.000000,3.571429,2.857143,0.625000,0.001000,0.355274,-0.229440,0.486016,123.267384,10.339270,2.504683,8.924495,931.123821,NaN,NaN,0.000000
ERTM,0.030000,10.000000,3.571429,2.857143,0.625000,0.001000,0.193190,-0.100348,0.294407,35.210184,4.515584,1.694083,4.201733,630.473915,NaN,NaN,0.000000
CERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.001000,-4.399687,-1.643158,-25.157326,457.440705,5.308531,2.134643,3.511290,1181.630439,NaN,NaN,0.000000
ERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.001000,-44.860620,-57.159671,-9.722409,147.673121,46.373042,63.057588,50.781004,1341.788351,NaN,NaN,0.000000
CERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.001000,-5.768247,-1.937314,-25.985731,704.256621,4.051281,1.856073,3.038684,860.855999,NaN,NaN,0.000000
ERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.001000,-5.592801,-4.429676,-23.817889,565.256644,5.327858,6.893652,42.925344,838.346359,NaN,NaN,0.000000
ETM,0.030000,15.000000,3.571429,2.857143,0.625000,0.001000,-3.281696,-3.688382,0.301020,1707.022374,21.036859,6.274918,19.605105,3604.933477,NaN,NaN,0.000000
ERTM,0.030000,15.000000,3.571429,2.857143,0.625000,0.001000,0.600656,-0.189315,0.776928,35.794228,6.061960,2.301629,5.339383,900.767815,NaN,NaN,0.000000
CERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.001000,-4.543394,-1.749752,-26.771100,475.386107,6.265928,2.529392,4.124907,1394.746855,NaN,NaN,0.000000
ERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.001000,-44.498532,-56.600147,-15.381308,196.520759,45.853439,63.888592,57.609927,1557.660634,NaN,NaN,0.000000
CERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.001000,-6.276671,-2.109043,-27.806468,792.488357,4.754837,2.205064,3.585857,997.505085,NaN,NaN,0.000000
ERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.001000,-6.359021,-5.608157,-29.690316,670.582914,5.931029,9.079779,46.535131,971.763442,NaN,NaN,0.000000
ETM,0.030000,1.000000,3.571429,2.857143,0.625000,0.005000,0.018905,0.000546,0.019357,-0.234929,1.221200,0.468712,1.212997,26.205043,NaN,NaN,0.000000
ERTM,0.030000,1.000000,3.571429,2.857143,0.625000,0.005000,2.179272,0.865107,1.301275,-75.618687,2.103002,0.461150,1.950283,13.454206,NaN,NaN,0.000000
CERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.005000,-0.602830,-0.194765,-3.455324,11.408310,2.278749,0.955191,1.629142,86.287233,NaN,NaN,0.000000
ERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.005000,-15.904124,-19.200069,-0.178846,-0.528002,35.802377,45.403345,18.097896,97.230404,NaN,NaN,0.000000
CERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.005000,-0.734776,-0.231964,-3.545546,15.385443,2.083977,0.892884,1.537516,79.088649,NaN,NaN,0.000000
ERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.005000,-0.710829,-0.385928,-1.716902,7.554220,2.820102,0.995863,17.007199,84.078151,NaN,NaN,0.000000
ETM,0.030000,5.000000,3.571429,2.857143,0.625000,0.005000,0.089977,0.002661,0.091714,-0.725686,2.703458,1.051530,2.661099,57.975567,NaN,NaN,0.000000
ERTM,0.030000,5.000000,3.571429,2.857143,0.625000,0.005000,0.235629,0.041698,0.197600,-3.847463,3.053780,1.077134,2.984434,69.601079,NaN,NaN,0.000000
CERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.005000,-2.467530,-0.805454,-14.830080,47.759462,4.315716,1.781186,2.943994,179.391579,NaN,NaN,0.000000
ERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.005000,-31.444666,-39.735119,-3.422221,4.964671,44.313749,58.803192,38.405670,203.340365,NaN,NaN,0.000000
CERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.005000,-3.100577,-0.965484,-15.234108,68.597906,3.595727,1.573225,2.653812,147.976666,NaN,NaN,0.000000
ERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.005000,-2.810625,-1.833564,-10.557824,44.496656,4.791858,2.360493,34.451200,150.265841,NaN,NaN,0.000000
ETM,0.030000,10.000000,3.571429,2.857143,0.625000,0.005000,0.426081,-0.220509,0.548497,23.535493,10.222503,2.543205,8.784311,190.472632,NaN,NaN,0.000000
ERTM,0.030000,10.000000,3.571429,2.857143,0.625000,0.005000,0.000608,-0.213140,0.213740,13.259764,4.482030,1.736213,4.128235,129.694827,NaN,NaN,0.000000
CERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.005000,-3.704109,-1.255609,-22.127196,77.607113,5.507262,2.248692,3.654648,243.012644,NaN,NaN,0.000000
ERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.005000,-34.872915,-44.558134,-9.047890,24.982293,44.531927,60.518671,49.789259,271.505632,NaN,NaN,0.000000
CERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.005000,-4.643964,-1.470194,-22.700030,110.462503,4.502564,2.000716,3.271158,195.302811,NaN,NaN,0.000000
ERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.005000,-4.409101,-3.802490,-18.481110,81.937495,5.636465,6.895004,43.601726,195.700245,NaN,NaN,0.000000
ETM,0.030000,15.000000,3.571429,2.857143,0.625000,0.005000,-3.738686,-3.698203,-0.161921,337.131199,20.859343,6.218314,19.468989,716.440549,NaN,NaN,0.000000
ERTM,0.030000,15.000000,3.571429,2.857143,0.625000,0.005000,0.295763,-0.273923,0.554106,15.715608,6.139256,2.344681,5.374181,188.465501,NaN,NaN,0.000000
CERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.005000,-4.025728,-1.339032,-24.096173,86.201259,6.562979,2.633344,4.357545,290.321048,NaN,NaN,0.000000
ERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.005000,-36.181501,-45.970806,-14.230088,38.349187,44.398705,61.885907,57.416923,320.188410,NaN,NaN,0.000000
CERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.005000,-5.323848,-1.624925,-24.877093,132.282357,5.261100,2.336737,3.862317,227.088048,NaN,NaN,0.000000
ERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.005000,-5.293860,-4.863910,-24.422447,107.233900,6.368346,8.399197,48.012460,226.272082,NaN,NaN,0.000000
ETM,0.030000,1.000000,3.571429,2.857143,0.625000,0.050000,0.028527,0.008072,0.021498,-0.084221,1.222763,0.466194,1.219259,2.630780,NaN,NaN,0.000000
ERTM,0.030000,1.000000,3.571429,2.857143,0.625000,0.050000,23.256931,8.623254,13.469139,-76.285189,2.669890,0.493822,2.266086,1.979589,NaN,NaN,0.000000
CERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.050000,0.290353,0.013111,1.114670,-0.842044,2.429219,1.026730,1.767193,8.850211,NaN,NaN,0.000000
ERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.050000,0.638398,0.050459,2.016962,-1.195257,2.726500,1.239547,18.293633,9.862758,NaN,NaN,0.000000
CERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.050000,0.290353,0.013111,1.114670,-0.842044,2.429219,1.026730,1.767193,8.850211,NaN,NaN,0.000000
ERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.050000,0.638398,0.050459,2.016962,-1.195257,2.726500,1.239547,18.293633,9.862758,NaN,NaN,0.000000
ETM,0.030000,5.000000,3.571429,2.857143,0.625000,0.050000,0.023584,-0.018142,0.046380,0.084601,2.736021,1.056975,2.701611,5.874541,NaN,NaN,0.000000
ERTM,0.030000,5.000000,3.571429,2.857143,0.625000,0.050000,1.502334,0.532922,0.966349,-4.830227,3.292755,1.127176,3.140623,7.724973,NaN,NaN,0.000000
CERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.050000,-0.163753,0.222559,-3.714224,0.664446,5.099477,2.132098,3.620594,19.267065,NaN,NaN,0.000000
ERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.050000,1.383150,0.110304,-0.176254,-0.808943,6.144855,2.763876,40.487589,21.281497,NaN,NaN,0.000000
CERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.050000,-0.163753,0.222559,-3.714224,0.664446,5.099477,2.132098,3.620594,19.267065,NaN,NaN,0.000000
ERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.050000,1.380159,0.068580,-0.150178,-0.813943,6.145992,2.808323,40.419862,21.272631,NaN,NaN,0.000000
ETM,0.030000,10.000000,3.571429,2.857143,0.625000,0.050000,0.378324,-0.182138,0.458637,2.114577,10.401842,2.536883,8.952903,18.770996,NaN,NaN,0.000000
ERTM,0.030000,10.000000,3.571429,2.857143,0.625000,0.050000,-2.353178,-1.079456,-1.346157,9.640414,6.578112,2.937628,4.908695,25.648632,NaN,NaN,0.000000
CERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.050000,-0.303593,0.406196,-6.419501,1.338101,7.174611,3.125645,4.905766,29.285328,NaN,NaN,0.000000
ERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.050000,2.057804,0.472968,-3.780795,-0.363257,9.378011,6.353772,53.574104,31.937863,NaN,NaN,0.000000
CERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.050000,-0.304812,0.405863,-6.420220,1.341584,7.170362,3.124539,4.903919,29.272410,NaN,NaN,0.000000
ERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.050000,2.071170,-0.567145,-3.105636,-0.476370,8.817157,6.463487,52.059592,31.798489,NaN,NaN,0.000000
ETM,0.030000,15.000000,3.571429,2.857143,0.625000,0.050000,-3.420210,-3.632499,0.076790,33.283358,21.291887,6.253032,19.783896,71.659539,NaN,NaN,0.000000
ERTM,0.030000,15.000000,3.571429,2.857143,0.625000,0.050000,-1.961609,-1.220300,-1.146561,10.374804,13.495109,6.513341,8.250316,60.785819,NaN,NaN,0.000000
CERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.050000,-0.642773,0.675865,-12.073345,2.982640,10.027411,4.807470,5.914120,50.985681,NaN,NaN,0.000000
ERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.050000,-0.682650,-2.391843,-13.034173,0.176926,22.026358,29.606042,64.865402,56.914880,NaN,NaN,0.000000
CERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.050000,-0.710006,0.658380,-12.111962,3.186637,9.876811,4.768967,5.850877,50.517879,NaN,NaN,0.000000
ERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.050000,2.448249,-0.495862,-11.028426,0.463419,11.433507,8.615443,58.259332,55.399953,NaN,NaN,0.000000
ETM,0.030000,1.000000,3.571429,2.857143,0.625000,0.100000,0.043890,0.018243,0.026816,-0.074409,1.236605,0.478911,1.238519,1.321636,NaN,NaN,0.000000
ERTM,0.030000,1.000000,3.571429,2.857143,0.625000,0.100000,49.186011,17.444425,27.022424,-76.321896,3.401871,0.574362,2.619495,1.563956,NaN,NaN,0.000000
CERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.100000,0.493695,-0.441885,4.324176,-1.220574,2.627075,1.110339,1.930783,4.680511,NaN,NaN,0.000000
ERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.100000,0.901963,-0.391225,5.373307,-1.429874,2.612700,2.769352,19.437573,5.251303,NaN,NaN,0.000000
CERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.100000,0.493695,-0.441885,4.324176,-1.220574,2.627075,1.110339,1.930783,4.680511,NaN,NaN,0.000000
ERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.100000,0.901963,-0.391225,5.373307,-1.429874,2.612700,2.769352,19.437573,5.251303,NaN,NaN,0.000000
ETM,0.030000,5.000000,3.571429,2.857143,0.625000,0.100000,0.133445,0.025775,0.113043,-0.109712,2.723903,1.066359,2.713019,2.902512,NaN,NaN,0.000000
ERTM,0.030000,5.000000,3.571429,2.857143,0.625000,0.100000,3.054634,1.148490,1.882666,-5.116246,3.727905,1.280425,3.397287,4.687409,NaN,NaN,0.000000
CERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.100000,0.362788,0.412928,-1.861666,-0.143131,5.340308,2.232498,3.816753,9.879764,NaN,NaN,0.000000
ERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.100000,2.118720,0.376627,2.226846,-1.001263,5.962900,5.690325,41.768397,11.113277,NaN,NaN,0.000000
CERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.100000,0.362788,0.412928,-1.861666,-0.143131,5.340308,2.232498,3.816753,9.879764,NaN,NaN,0.000000
ERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.100000,2.114442,0.320978,2.245856,-1.003125,5.957363,5.726457,41.719339,11.110578,NaN,NaN,0.000000
ETM,0.030000,10.000000,3.571429,2.857143,0.625000,0.100000,0.438554,-0.234689,0.575052,1.122918,10.329763,2.510639,8.915322,9.351762,NaN,NaN,0.000000
ERTM,0.030000,10.000000,3.571429,2.857143,0.625000,0.100000,-4.688802,-2.076253,-2.907002,9.238087,10.514528,4.970761,6.713710,22.930377,NaN,NaN,0.000000
CERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.100000,0.758001,0.860491,-3.847615,-0.357892,8.465352,3.958797,5.411539,18.879062,NaN,NaN,0.000000
ERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.100000,4.737274,2.147051,-1.761431,-1.530034,10.483654,10.688203,57.529049,21.281533,NaN,NaN,0.000000
CERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.100000,0.758001,0.860491,-3.847615,-0.357892,8.465352,3.958797,5.411539,18.879062,NaN,NaN,0.000000
ERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.100000,4.474395,0.461111,-0.799944,-1.598003,10.204504,8.432073,55.432200,21.205255,NaN,NaN,0.000000
ETM,0.030000,15.000000,3.571429,2.857143,0.625000,0.100000,-3.560098,-3.719724,0.046474,17.264762,20.999351,6.214534,19.634287,35.936404,NaN,NaN,0.000000
ERTM,0.030000,15.000000,3.571429,2.857143,0.625000,0.100000,-3.715854,-2.035423,-3.267194,9.403983,24.348423,12.353902,13.613848,58.885405,NaN,NaN,0.000000
CERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.100000,1.401691,0.986025,-3.119784,-1.342722,16.884635,9.196162,8.571753,45.372576,NaN,NaN,0.000000
ERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.100000,12.798839,11.262441,-12.443131,-4.111642,22.328011,24.055724,83.861216,50.254418,NaN,NaN,0.000000
CERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.100000,1.397305,0.984846,-3.122124,-1.336988,16.872082,9.193476,8.565695,45.359480,NaN,NaN,0.000000
ERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.100000,11.363703,4.130169,-5.842635,-4.108113,18.314654,10.987823,71.582144,50.112075,NaN,NaN,0.000000
ETM,0.030000,1.000000,3.571429,2.857143,0.625000,0.150000,0.059703,0.031517,0.029295,-0.084858,1.255880,0.483103,1.251791,0.887352,NaN,NaN,0.000000
ERTM,0.030000,1.000000,3.571429,2.857143,0.625000,0.150000,77.650743,26.395539,40.544914,-76.323671,4.290698,0.681665,3.018434,1.447837,NaN,NaN,0.000000
CERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.150000,0.295350,-1.183814,6.244734,-1.178559,2.779764,1.168330,2.065297,3.257228,NaN,NaN,0.000000
ERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.150000,0.778225,-1.118427,7.525629,-1.350870,3.069452,4.504747,20.351609,3.711593,NaN,NaN,0.000000
CERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.150000,0.295350,-1.183814,6.244734,-1.178559,2.779764,1.168330,2.065297,3.257228,NaN,NaN,0.000000
ERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.150000,0.778225,-1.118427,7.525629,-1.350870,3.069452,4.504747,20.351609,3.711593,NaN,NaN,0.000000
ETM,0.030000,5.000000,3.571429,2.857143,0.625000,0.150000,0.098500,0.021825,0.082221,-0.065900,2.784565,1.079735,2.774662,1.977857,NaN,NaN,0.000000
ERTM,0.030000,5.000000,3.571429,2.857143,0.625000,0.150000,4.520905,1.713370,2.752394,-5.067761,4.303573,1.472633,3.749734,3.833941,NaN,NaN,0.000000
CERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.150000,0.635568,0.037681,1.125835,-0.685470,5.710474,2.392284,4.113033,6.906121,NaN,NaN,0.000000
ERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.150000,2.746661,0.256055,5.200637,-1.268849,7.145237,9.247150,43.696295,7.769500,NaN,NaN,0.000000
CERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.150000,0.635568,0.037681,1.125835,-0.685470,5.710474,2.392284,4.113033,6.906121,NaN,NaN,0.000000
ERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.150000,2.729498,0.111319,5.247996,-1.271514,7.096822,9.296965,43.570486,7.765070,NaN,NaN,0.000000
ETM,0.030000,10.000000,3.571429,2.857143,0.625000,0.150000,0.542132,-0.161212,0.603626,0.625064,10.348836,2.527742,8.913105,6.243368,NaN,NaN,0.000000
ERTM,0.030000,10.000000,3.571429,2.857143,0.625000,0.150000,-6.971927,-2.977349,-4.654223,9.003133,14.683092,7.142736,8.881535,22.236922,NaN,NaN,0.000000
CERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.150000,1.367981,0.911648,-1.514544,-0.949209,10.318463,5.153367,6.112225,16.312723,NaN,NaN,0.000000
ERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.150000,7.660626,4.118477,0.455899,-2.049946,14.097526,16.801122,63.259963,18.614170,NaN,NaN,0.000000
CERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.150000,1.367981,0.911648,-1.514544,-0.949209,10.318463,5.153367,6.112225,16.312723,NaN,NaN,0.000000
ERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.150000,7.093452,1.207787,1.812160,-2.094007,13.100793,12.068753,60.387500,18.568770,NaN,NaN,0.000000
ETM,0.030000,15.000000,3.571429,2.857143,0.625000,0.150000,-3.489275,-3.616986,-0.001548,11.039222,21.184754,6.210849,19.749854,23.683619,NaN,NaN,0.000000
ERTM,0.030000,15.000000,3.571429,2.857143,0.625000,0.150000,-5.024468,-2.846352,-5.688642,9.503708,34.969579,18.014663,19.698488,57.894027,NaN,NaN,0.000000
CERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.150000,2.239754,-0.337424,4.779047,-2.144713,25.350192,14.425047,12.422904,43.802578,NaN,NaN,0.000000
ERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.150000,28.496283,26.211250,-19.068838,-5.040075,31.430814,38.321038,105.879101,47.220259,NaN,NaN,0.000600
CERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.150000,2.239147,-0.337594,4.778741,-2.144209,25.348696,14.424632,12.422369,43.801423,NaN,NaN,0.000000
ERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.150000,21.361712,8.772913,-4.930828,-4.777767,24.498529,14.596810,82.525913,47.517135,NaN,NaN,0.000600
ETM,0.030000,1.000000,3.571429,2.857143,0.625000,0.200000,0.076159,0.031652,0.045624,-0.068032,1.274892,0.499814,1.265324,0.674802,NaN,NaN,0.000000
ERTM,0.030000,1.000000,3.571429,2.857143,0.625000,0.200000,108.608236,35.439404,54.013716,-76.296379,5.387237,0.812483,3.464398,1.418999,NaN,NaN,0.000000
CERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.200000,-0.208428,-2.527581,9.275375,-1.268172,2.944288,1.255876,2.205229,2.563523,NaN,NaN,0.000000
ERRM,0.030000,1.000000,3.571429,2.857143,0.625000,0.200000,0.404708,-2.372513,10.674994,-1.411419,3.898712,6.245504,21.558231,2.945071,NaN,NaN,0.000000
CERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.200000,-0.208428,-2.527581,9.275375,-1.268172,2.944288,1.255876,2.205229,2.563523,NaN,NaN,0.000000
ERRM-NN,0.030000,1.000000,3.571429,2.857143,0.625000,0.200000,0.404708,-2.372513,10.674994,-1.411419,3.898712,6.245504,21.558231,2.945071,NaN,NaN,0.000000
ETM,0.030000,5.000000,3.571429,2.857143,0.625000,0.200000,0.106497,0.047817,0.065007,-0.067558,2.853730,1.096616,2.864857,1.504464,NaN,NaN,0.000000
ERTM,0.030000,5.000000,3.571429,2.857143,0.625000,0.200000,5.999047,2.313652,3.583270,-5.083148,5.047801,1.727714,4.165356,3.519102,NaN,NaN,0.000000
CERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.200000,0.701651,-0.164592,1.957587,-0.764689,5.951015,2.484030,4.312345,5.385997,NaN,NaN,0.000000
ERRM,0.030000,5.000000,3.571429,2.857143,0.625000,0.200000,3.360147,0.324149,6.894106,-1.308164,9.200830,12.900466,45.960314,6.182360,NaN,NaN,0.000000
CERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.200000,0.701651,-0.164592,1.957587,-0.764689,5.951015,2.484030,4.312345,5.385997,NaN,NaN,0.000000
ERRM-NN,0.030000,5.000000,3.571429,2.857143,0.625000,0.200000,3.339882,0.118433,6.936846,-1.310133,9.135229,12.942618,45.853348,6.179358,NaN,NaN,0.000000
ETM,0.030000,10.000000,3.571429,2.857143,0.625000,0.200000,0.528517,-0.149192,0.578058,0.446374,10.444515,2.589458,9.005500,4.706850,NaN,NaN,0.000000
ERTM,0.030000,10.000000,3.571429,2.857143,0.625000,0.200000,-9.184942,-3.893136,-6.471381,9.060027,18.971967,9.375132,11.373516,22.060231,NaN,NaN,0.000000
CERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.200000,1.830700,1.049186,-0.776758,-1.013378,12.161798,6.328692,6.814005,15.061893,NaN,NaN,0.000000
ERRM,0.030000,10.000000,3.571429,2.857143,0.625000,0.200000,11.499333,7.435948,1.017905,-2.138611,18.472951,24.007222,70.040197,17.317650,NaN,NaN,0.000000
CERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.200000,1.830700,1.049186,-0.776758,-1.013378,12.161798,6.328692,6.814005,15.061893,NaN,NaN,0.000000
ERRM-NN,0.030000,10.000000,3.571429,2.857143,0.625000,0.200000,10.366437,2.467342,3.032777,-2.177986,15.940758,15.656979,65.930190,17.280185,NaN,NaN,0.000000
ETM,0.030000,15.000000,3.571429,2.857143,0.625000,0.200000,-3.167355,-3.550777,0.246799,8.157511,21.475652,6.205131,19.952657,17.677538,NaN,NaN,0.000000
ERTM,0.030000,15.000000,3.571429,2.857143,0.625000,0.200000,-5.324247,-3.177881,-8.287003,9.048779,45.227998,23.456363,26.166004,57.613970,NaN,NaN,0.000000
CERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.200000,3.153377,-3.179419,14.879201,-3.472494,36.395793,21.223999,18.228310,44.254198,NaN,NaN,0.000000
ERRM,0.030000,15.000000,3.571429,2.857143,0.625000,0.200000,47.391118,43.728185,-23.398463,-6.705515,44.832439,57.821267,125.309616,45.997210,NaN,NaN,0.002600
CERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.200000,3.153377,-3.179419,14.879201,-3.472494,36.395793,21.223999,18.228310,44.254198,NaN,NaN,0.000000
ERRM-NN,0.030000,15.000000,3.571429,2.857143,0.625000,0.200000,32.803816,13.218366,-1.631909,-6.027260,31.101820,18.322079,91.862857,46.742515,NaN,NaN,0.002600
ETM,0.040000,1.000000,3.571429,2.857143,0.625000,0.001000,-0.014600,-0.005869,-0.007059,2.301150,1.621724,0.631219,1.601799,174.761296,NaN,NaN,0.000000
ERTM,0.040000,1.000000,3.571429,2.857143,0.625000,0.001000,0.365477,0.210598,0.151626,-81.568299,2.750617,0.613668,2.563065,68.054592,NaN,NaN,0.000000
CERRM,0.040000,1.000000,3.571429,2.857143,0.625000,0.001000,-1.856071,-0.674745,-10.138325,173.184068,2.765441,1.160138,1.921325,555.605834,NaN,NaN,0.000000
ERRM,0.040000,1.000000,3.571429,2.857143,0.625000,0.001000,-43.750658,-54.715665,-1.183536,13.389879,48.050175,62.463308,23.908454,625.836593,NaN,NaN,0.000000
CERRM-NN,0.040000,1.000000,3.571429,2.857143,0.625000,0.001000,-2.558827,-0.861382,-10.606324,285.361676,2.100027,0.948668,1.655540,409.450419,NaN,NaN,0.000000
ERRM-NN,0.040000,1.000000,3.571429,2.857143,0.625000,0.001000,-2.573396,-1.269202,-8.718593,210.936950,2.986701,1.152662,21.063317,399.501915,NaN,NaN,0.000000
ETM,0.040000,5.000000,3.571429,2.857143,0.625000,0.001000,0.084251,0.001144,0.092838,3.215393,3.613320,1.411145,3.607231,384.401623,NaN,NaN,0.000000
