FitMethod,TemporalRes,sigmaC,q5Kt,q25Kt,q50Kt,q75Kt,q95Kt,q5Ve,q25Ve,q50Ve,q75Ve,q95Ve,q5Kep,q25Kep,q50Kep,q75Kep,q95Kep,q5Vp,q25Vp,q50Vp,q75Vp,q95Vp
ERRM,8.000000,0.000000,-15.601330,-1.617973,-0.189802,0.996067,12.364909,-11.341562,-0.884128,-0.094227,0.426359,7.222415,-10.162587,-0.932187,-0.138602,0.948078,168.189223,-7.974667,-4.364490,1.370608,5.979443,23.591395
TM,8.000000,0.000000,0.642965,7.013573,25.733748,69.906818,244.768798,-4.899987,1.766153,6.663467,23.762665,71.560552,-0.956106,4.871117,15.976990,39.139318,123.303352,NaN,NaN,NaN,NaN,NaN
RRM,8.000000,0.000000,-12.046052,7.803740,26.225271,98.575065,326.987790,-6.433998,2.559923,10.010825,25.723749,99.293595,-576.574864,-9.565258,9.716734,58.832465,349.010964,NaN,NaN,NaN,NaN,NaN
CRRM,8.000000,0.000000,3.423012,7.445721,26.528622,69.380595,243.852239,-6.074394,1.975560,6.295764,24.075455,71.892979,5.257115,8.556263,19.728431,47.644475,149.493624,NaN,NaN,NaN,NaN,NaN
ETM,9.000000,0.000000,-18.819600,-6.601031,-0.935169,6.201305,29.291032,-7.816965,-2.091545,-0.293478,1.574153,8.743310,-14.106768,-5.253395,-0.250424,5.573422,20.367052,-164.772135,-15.688911,0.446396,17.833722,169.584284
ERTM,9.000000,0.000000,-37.951947,-7.692451,-0.860651,0.584572,5.078724,-21.173429,-2.648398,-0.351929,0.252377,5.305167,-26.004912,-4.737189,-0.367339,0.545636,3.611281,-30.254789,-3.428509,12.800472,30.630763,47.301994
RTM,9.000000,0.000000,3.245103,6.677871,25.335570,68.975094,231.696701,-4.807118,1.596842,6.457042,23.658489,71.217373,2.242542,5.042335,15.735987,39.619981,145.862804,NaN,NaN,NaN,NaN,NaN
CERRM,9.000000,0.000000,-8.787222,-1.257676,-0.048761,0.970074,7.664722,-5.485274,-0.695689,-0.041494,0.457019,4.258948,-5.760237,-0.518260,0.068834,0.682242,5.641035,-13.276993,-7.403804,0.822286,8.814671,27.542304
ERRM,9.000000,0.000000,-23.825101,-2.607525,-0.204400,1.776346,21.579374,-16.728198,-1.517369,-0.121222,0.787739,10.992097,-17.959247,-1.650648,-0.083076,1.935063,188.068940,-15.922809,-9.007268,1.387743,11.097611,33.660415
TM,9.000000,0.000000,-3.901911,7.842820,27.169553,73.810066,231.871354,-4.818917,1.744275,6.758472,23.319175,71.609490,-5.209892,5.591535,17.572318,41.485826,137.958951,NaN,NaN,NaN,NaN,NaN
RRM,9.000000,0.000000,2.454387,7.662141,27.011258,96.030650,301.429295,-6.393439,2.553550,9.959789,25.666609,98.512086,-475.337941,-0.249825,9.848582,55.704088,414.123104,NaN,NaN,NaN,NaN,NaN
CRRM,9.000000,0.000000,3.320935,7.400836,26.250913,71.403765,226.735725,-5.886753,1.953507,6.287907,24.025685,71.827960,4.953321,7.932606,19.313363,44.180705,152.898776,NaN,NaN,NaN,NaN,NaN
